iter	Passed	Remaining
0	1	187
1	3	160
2	4	141
3	5	123
4	6	119
5	7	115
6	8	112
7	9	109
8	10	106
9	12	108
10	13	106
11	14	104
12	15	103
13	16	102
14	18	102
15	19	100
16	20	99
17	21	97
18	22	95
19	23	93
20	24	92
21	60	214
22	61	206
23	62	198
24	63	191
25	64	184
26	65	177
27	66	172
28	67	166
29	68	160
30	70	155
31	71	150
32	72	146
33	73	141
34	74	138
35	75	134
36	76	130
37	77	127
38	79	123
39	80	120
40	81	116
41	81	112
42	82	109
43	83	106
44	84	103
45	86	101
46	87	98
47	124	134
48	125	130
49	126	126
50	127	122
51	128	118
52	129	114
53	130	111
54	132	108
55	133	104
56	134	101
57	135	98
58	136	95
59	138	92
60	142	91
61	143	88
62	144	85
63	145	82
64	146	79
65	147	76
66	148	73
67	149	70
68	150	67
69	153	65
70	154	62
71	155	60
72	156	57
73	174	61
74	175	58
75	176	55
76	177	53
77	178	50
78	180	48
79	192	48
80	193	45
81	194	42
82	195	40
83	196	37
84	198	34
85	200	32
86	201	30
87	202	27
88	203	25
89	204	22
90	205	20
91	206	17
92	207	15
93	208	13
94	209	11
95	210	8
96	211	6
97	212	4
98	228	2
99	229	0
